Date,Target_Time,Time,Temperature,Weather,Humidity,Time_clean,Time_parsed
2025-08-23,06:00,05:30,26ʡC,Fog.,87%,05:30,05:30:00
2025-08-23,12:00,11:30,31ʡC,Overcast.,74%,11:30,11:30:00
2025-08-23,18:00,17:30,26ʡC,Overcast.,94%,17:30,17:30:00
2025-08-23,00:00,05:30,26ʡC,Fog.,87%,05:30,05:30:00
2025-08-24,06:00,05:30,26ʡC,Fog.,92%,05:30,05:30:00
2025-08-24,12:00,11:30,29ʡC,Overcast.,82%,11:30,11:30:00
2025-08-24,18:00,17:30,28ʡC,Fog.,86%,17:30,17:30:00
2025-08-24,00:00,05:30,26ʡC,Fog.,92%,05:30,05:30:00
2025-08-25,06:00,05:30,26ʡC,Light rain. Overcast.,95%,05:30,05:30:00
2025-08-25,12:00,11:30,27ʡC,Fog.,90%,11:30,11:30:00
2025-08-25,18:00,17:30,30ʡC,Overcast.,78%,17:30,17:30:00
2025-08-25,00:00,05:30,26ʡC,Light rain. Overcast.,95%,05:30,05:30:00
